name,set,total,usd,usd_foil,usd_etched,release_date,year
Plains,Dragons of Tarkir,1.79,0.32,1.47,0.0,2015-03-27,2015
Plains,Tempest Remastered,0.0,0.0,0.0,0.0,2015-05-06,2015
Plains,Magic Origins,2.5500000000000003,0.32,2.23,0.0,2015-07-17,2015
Plains,Duel Decks: Zendikar vs. Eldrazi,0.62,0.62,0.0,0.0,2015-08-28,2015
Plains,Battle for Zendikar,6.76,1.65,5.11,0.0,2015-10-02,2015
Plains,Commander 2015,0.44999999999999996,0.44999999999999996,0.0,0.0,2015-11-13,2015
Plains,Duel Decks: Blessed vs. Cursed,0.36,0.36,0.0,0.0,2016-02-26,2016
Plains,Shadows over Innistrad,1.8099999999999998,0.28,1.5299999999999998,0.0,2016-04-08,2016
Plains,Kaladesh,1.25,0.25,1.0,0.0,2016-09-30,2016
Plains,Commander 2016,0.77,0.77,0.0,0.0,2016-11-11,2016
Plains,Planechase Anthology,1.1099999999999999,1.1099999999999999,0.0,0.0,2016-11-25,2016
Plains,Amonkhet,3.13,0.42,2.71,0.0,2017-04-28,2017
Plains,Commander Anthology,2.73,2.73,0.0,0.0,2017-06-09,2017
Plains,Archenemy: Nicol Bolas,0.25,0.25,0.0,0.0,2017-06-16,2017
Plains,Hour of Devastation,1.69,0.35000000000000003,1.3399999999999999,0.0,2017-07-14,2017
Plains,Commander 2017,0.8700000000000001,0.8700000000000001,0.0,0.0,2017-08-25,2017
Plains,Ixalan,2.29,0.29000000000000004,2.0,0.0,2017-09-29,2017
Plains,XLN Standard Showdown,1.09,0.0,1.09,0.0,2017-09-29,2017
Plains,2017 Gift Pack,0.45,0.0,0.45,0.0,2017-10-20,2017
Plains,Unstable,27.35,1.89,25.46,0.0,2017-12-08,2017
Plains,Rivals of Ixalan,1.17,0.42,0.75,0.0,2018-01-19,2018
Plains,Dominaria,2.55,0.38,2.17,0.0,2018-04-27,2018
Plains,Battlebond,1.4500000000000002,0.66,0.79,0.0,2018-06-08,2018
Plains,Commander Anthology Volume II,2.68,2.68,0.0,0.0,2018-06-08,2018
Plains,Grand Prix Promos,2.76,0.0,2.76,0.0,2018-06-14,2018
Plains,Global Series Jiang Yanggu & Mu Yanling,0.39,0.39,0.0,0.0,2018-06-22,2018
Plains,Core Set 2019,0.65,0.3,0.35,0.0,2018-07-13,2018
Plains,M19 Standard Showdown,0.72,0.0,0.72,0.0,2018-07-13,2018
Plains,Arena New Player Experience,0.0,0.0,0.0,0.0,2018-07-14,2018
Plains,MTG Arena Promos,0.0,0.0,0.0,0.0,2018-07-14,2018
Plains,Commander 2018,0.6,0.6,0.0,0.0,2018-08-09,2018
Plains,Guilds of Ravnica,0.72,0.42,0.3,0.0,2018-10-05,2018
Plains,GRN Guild Kit,0.81,0.81,0.0,0.0,2018-11-02,2018
Plains,GRN Ravnica Weekend,1.95,0.0,1.95,0.0,2018-11-09,2018
